Point 1 x (end),Point 1 z (end),Origin x (start),Origin z (start),Point 3 x,Point 3 z
-270.0073024,-2569.584881,-307.3151944,-2569.292429,-305.7079231,-2475.01746
-272.7214345,-2568.449738,-309.6631836,-2567.421196,-307.4705774,-2472.985491
-272.0309183,-2569.108334,-308.8926994,-2568.818678,-306.3408778,-2474.730995
-271.9731208,-2572.043665,-308.5754255,-2571.868298,-306.9616295,-2477.67853
-273.1188487,-2570.472628,-309.9057521,-2569.78209,-307.3638032,-2475.471146
-273.5760568,-2577.114659,-310.5452794,-2576.871627,-307.7210113,-2482.892401
-273.0692408,-2570.208823,-309.5515232,-2569.973472,-307.9363513,-2475.966368
-272.9381188,-2574.591083,-309.7373815,-2573.848622,-307.4136602,-2479.664428
-273.0495404,-2569.619237,-310.0748409,-2568.93224,-307.0622498,-2475.313863
-272.0677502,-2572.492159,-308.4049466,-2571.760021,-306.7009936,-2477.874089
-270.9274837,-2568.611049,-307.9602952,-2568.265181,-306.4940683,-2474.017168
-272.5443897,-2565.567391,-309.6447739,-2565.574353,-307.3539957,-2471.555091
-271.9471762,-2572.642974,-308.9892595,-2571.628505,-306.2743468,-2477.80001
-272.9579091,-2571.787862,-309.9848866,-2571.138686,-307.5134317,-2476.908435
-273.097029,-2573.682196,-310.5803669,-2573.314675,-308.1795153,-2479.055986
-272.9954185,-2571.653127,-309.5433994,-2570.4309,-306.684021,-2477.016334
-273.167041,-2573.286254,-310.1772324,-2572.510736,-307.3674617,-2478.40398
-273.2458739,-2567.823661,-310.4071115,-2566.875987,-306.8503876,-2472.410726
-274.4565378,-2572.974555,-311.0921334,-2571.809844,-307.981075,-2477.834624
-272.5155755,-2571.237702,-309.330246,-2570.218206,-307.5780058,-2476.542471